Country,hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,iso_code,market_segment,distribution_channel,previous_cancellations,customer_type,adr
Portugal,"Resort Hotel",0,2015,October,16,0,1,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,37
Portugal,"Resort Hotel",0,2016,February,1,1,0,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,25
Others,"Resort Hotel",0,2017,March,16,0,3,2,0,0,unknown,"Online TA",TA/TO,0,Transient-Party,68
Others,"Resort Hotel",0,2016,January,14,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,38
Others,"Resort Hotel",0,2016,January,28,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,41
Portugal,"Resort Hotel",0,2016,February,25,0,1,1,0,0,PRT,Corporate,Corporate,0,Transient,33
Others,"Resort Hotel",0,2016,February,3,0,1,1,0,0,unknown,"Online TA",TA/TO,0,Transient,39
Others,"Resort Hotel",0,2016,March,2,0,1,1,0,0,unknown,"Online TA",TA/TO,0,Transient,43
Others,"Resort Hotel",0,2017,March,13,1,0,1,0,0,unknown,Corporate,Corporate,0,Transient,35
Portugal,"Resort Hotel",1,2015,July,4,4,10,2,1,0,PRT,Direct,Direct,1,Transient,130
Others,"Resort Hotel",0,2015,October,28,0,1,1,0,0,unknown,Direct,Direct,0,Transient,40
Others,"Resort Hotel",0,2016,April,11,1,3,1,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,39
Others,"Resort Hotel",0,2015,November,16,1,1,2,0,0,unknown,Direct,Direct,0,Transient,56
Others,"Resort Hotel",0,2016,February,6,2,1,2,1,0,unknown,Direct,Direct,0,Transient-Party,40
Others,"Resort Hotel",0,2017,April,3,1,0,1,0,0,unknown,Corporate,Corporate,0,Transient,48
Others,"Resort Hotel",0,2017,January,23,1,1,2,0,0,unknown,"Online TA",TA/TO,0,Transient,46
Others,"Resort Hotel",0,2017,April,3,1,1,1,0,0,unknown,"Online TA",TA/TO,0,Group,62
Portugal,"Resort Hotel",0,2017,May,23,0,2,1,0,0,PRT,"Online TA",TA/TO,0,Group,75
Others,"Resort Hotel",0,2016,May,2,1,1,1,0,0,unknown,"Online TA",TA/TO,0,Transient,72
Others,"Resort Hotel",0,2015,December,15,0,2,1,0,0,unknown,Corporate,Corporate,0,Transient,38
Italy,"Resort Hotel",0,2015,September,3,0,3,2,0,0,ITA,Corporate,Direct,0,Transient-Party,98
Others,"Resort Hotel",0,2015,October,13,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,48
Others,"Resort Hotel",0,2016,October,25,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient-Party,42
Others,"Resort Hotel",0,2016,February,8,1,0,2,0,0,unknown,Direct,Direct,0,Transient,65
Others,"Resort Hotel",0,2016,October,17,1,0,1,0,0,unknown,Corporate,Corporate,0,Transient,45
Portugal,"Resort Hotel",0,2017,February,25,2,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,75
Others,"Resort Hotel",0,2015,December,9,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,38
Others,"Resort Hotel",1,2016,June,5,1,0,1,0,0,unknown,Direct,Corporate,0,Transient,90
Others,"Resort Hotel",0,2016,March,2,0,1,2,0,0,unknown,Direct,Direct,0,Transient,40
Portugal,"Resort Hotel",0,2017,January,14,2,1,2,0,0,PRT,Direct,Direct,0,Transient,35
Others,"Resort Hotel",0,2016,April,24,1,0,2,0,0,unknown,Corporate,Corporate,0,Transient,71
Others,"Resort Hotel",0,2016,May,17,0,1,2,0,0,unknown,Direct,Direct,0,Transient,87
Others,"Resort Hotel",1,2016,July,17,1,0,2,0,0,unknown,Direct,Direct,1,Transient,156
Others,"Resort Hotel",0,2017,January,27,0,1,2,0,0,unknown,Corporate,Direct,1,Transient,47
Others,"Resort Hotel",0,2016,June,30,0,1,2,0,0,unknown,Direct,Direct,0,Transient,79
Others,"Resort Hotel",0,2016,July,26,0,1,1,0,0,unknown,Direct,Direct,0,Transient,118
Others,"Resort Hotel",0,2016,November,4,0,1,1,0,0,unknown,Direct,Direct,0,Transient,48
Others,"Resort Hotel",0,2017,March,21,0,1,1,0,0,unknown,Direct,Direct,0,Transient,50
Portugal,"Resort Hotel",1,2017,July,13,0,1,1,0,0,PRT,Direct,Direct,1,Transient,120
Portugal,"Resort Hotel",0,2017,April,26,0,2,1,0,0,PRT,Corporate,Corporate,0,Transient,45
"United Kingdom","Resort Hotel",0,2017,June,20,4,10,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,83
Others,"Resort Hotel",0,2016,May,4,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,42
Portugal,"Resort Hotel",0,2015,July,12,2,4,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,111
Others,"Resort Hotel",0,2015,October,4,1,0,1,0,0,unknown,"Online TA",TA/TO,0,Transient,42
Portugal,"Resort Hotel",0,2017,June,10,2,4,2,0,0,PRT,Direct,Direct,0,Transient,141
Portugal,"Resort Hotel",1,2015,July,17,0,1,2,0,0,PRT,Direct,Direct,1,Transient,8
Portugal,"Resort Hotel",0,2017,January,29,1,0,2,0,0,PRT,"Online TA",TA/TO,2,Transient-Party,43
Italy,"Resort Hotel",0,2017,January,30,1,1,1,0,0,ITA,"Online TA",TA/TO,2,Transient-Party,53
Portugal,"Resort Hotel",0,2017,January,30,1,0,1,0,0,PRT,Direct,TA/TO,2,Transient,40
Portugal,"Resort Hotel",0,2017,July,23,2,1,2,0,0,PRT,Direct,Direct,0,Transient-Party,214
Portugal,"Resort Hotel",0,2015,November,5,0,1,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,22
Portugal,"Resort Hotel",0,2015,December,3,0,1,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Group,26
Portugal,"Resort Hotel",0,2016,January,13,0,1,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,25
Portugal,"Resort Hotel",0,2017,January,25,0,2,1,0,0,PRT,"Online TA",TA/TO,0,Group,30
Portugal,"Resort Hotel",0,2017,March,29,0,2,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,30
Others,"Resort Hotel",0,2016,July,18,2,5,2,0,0,unknown,"Online TA",TA/TO,0,Transient,241
Portugal,"Resort Hotel",0,2017,July,17,2,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,186
Portugal,"Resort Hotel",0,2016,August,31,0,1,1,0,0,PRT,"Online TA",TA/TO,0,Transient,125
Portugal,"Resort Hotel",0,2017,July,8,2,5,2,0,0,PRT,Direct,Direct,0,Transient,189
Portugal,"Resort Hotel",0,2017,May,22,1,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,110
Portugal,"Resort Hotel",0,2015,July,17,1,2,3,0,0,PRT,Direct,Direct,0,Transient,154
Others,"Resort Hotel",0,2015,July,17,1,2,2,0,0,unknown,Direct,Direct,0,Transient,127
Portugal,"Resort Hotel",0,2015,October,29,0,1,1,0,0,PRT,"Online TA",TA/TO,0,Transient,35
Portugal,"Resort Hotel",0,2016,October,29,0,1,2,0,0,PRT,Direct,Direct,0,Transient-Party,38
Portugal,"Resort Hotel",1,2017,August,3,0,3,3,0,0,PRT,Direct,Direct,1,Transient,234
Portugal,"Resort Hotel",0,2015,August,8,2,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,107
Others,"Resort Hotel",0,2017,February,25,2,1,2,2,0,unknown,"Online TA",TA/TO,0,Transient,130
Portugal,"Resort Hotel",0,2017,August,6,4,5,2,0,0,PRT,Direct,Direct,0,Transient,171
Portugal,"Resort Hotel",0,2017,August,21,2,5,3,0,0,PRT,"Online TA",TA/TO,0,Transient,226
Portugal,"Resort Hotel",0,2017,July,2,3,5,2,1,0,PRT,Direct,Direct,0,Transient,114
Others,"Resort Hotel",0,2016,August,28,2,1,2,1,0,unknown,Direct,Direct,0,Transient,140
Others,"Resort Hotel",0,2017,February,11,0,1,2,0,0,unknown,"Online TA",TA/TO,0,Transient-Party,55
Portugal,"Resort Hotel",0,2017,July,3,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,140
Others,"Resort Hotel",0,2016,September,3,2,6,2,0,0,unknown,Direct,Direct,0,Transient,160
Portugal,"Resort Hotel",0,2016,September,10,2,5,2,0,0,PRT,Direct,Direct,0,Transient,130
Others,"Resort Hotel",0,2015,September,6,2,3,2,1,0,unknown,Direct,Direct,0,Transient,175
Portugal,"Resort Hotel",0,2016,October,5,0,4,2,0,0,PRT,Direct,Direct,0,Transient,71
Others,"Resort Hotel",0,2017,January,5,0,3,1,0,0,unknown,"Online TA",TA/TO,0,Transient,43
Portugal,"Resort Hotel",0,2017,July,28,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,193
"United Kingdom","Resort Hotel",0,2017,June,15,4,10,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,68
Others,"Resort Hotel",0,2015,October,28,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,48
Portugal,"Resort Hotel",0,2017,April,26,0,2,1,0,0,PRT,Corporate,Corporate,0,Transient,45
Others,"Resort Hotel",0,2015,November,17,0,2,1,0,0,unknown,Corporate,Corporate,0,Transient,35
Belgium,"Resort Hotel",0,2016,September,17,6,15,2,0,0,BEL,Direct,Direct,0,Transient,103
Others,"Resort Hotel",0,2016,October,3,1,1,2,0,0,unknown,Direct,Direct,0,Transient-Party,96
France,"Resort Hotel",0,2015,October,11,2,5,2,0,0,FRA,Direct,Direct,0,Transient,91
Portugal,"Resort Hotel",0,2015,October,11,2,5,1,0,0,PRT,Direct,Direct,0,Transient,51
Others,"Resort Hotel",0,2015,November,3,0,1,1,0,0,unknown,Direct,Direct,0,Transient,40
Others,"Resort Hotel",0,2015,November,26,0,1,1,0,0,unknown,Direct,Direct,0,Transient,38
Others,"Resort Hotel",0,2016,June,1,0,1,1,0,0,unknown,Direct,Direct,0,Transient,75
Others,"Resort Hotel",0,2016,June,14,0,1,1,0,0,unknown,Direct,Direct,0,Transient,95
Others,"Resort Hotel",0,2016,August,24,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,126
Others,"Resort Hotel",0,2017,January,25,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,35
Others,"Resort Hotel",0,2016,January,12,0,1,1,0,0,unknown,Direct,Direct,0,Transient,74
Others,"Resort Hotel",0,2016,February,17,0,1,1,0,0,unknown,Direct,Direct,0,Transient,40
Portugal,"Resort Hotel",0,2016,June,15,0,1,1,0,0,PRT,Direct,Direct,0,Transient,79
Portugal,"Resort Hotel",0,2017,February,16,0,1,1,0,0,PRT,Corporate,Direct,0,Transient,35
Portugal,"Resort Hotel",0,2017,August,22,0,3,3,0,0,PRT,Direct,Direct,0,Transient,335
Portugal,"Resort Hotel",0,2017,February,11,0,0,2,0,0,PRT,Direct,Direct,0,Transient,0
Portugal,"Resort Hotel",0,2017,February,14,0,2,2,0,0,PRT,Direct,Direct,0,Transient,60
Others,"Resort Hotel",0,2016,January,26,0,1,1,0,0,unknown,Direct,Direct,0,Transient,49
Others,"Resort Hotel",0,2016,January,28,0,2,1,0,0,unknown,Direct,Direct,0,Transient,14
Others,"Resort Hotel",0,2017,January,25,0,1,1,0,0,unknown,Direct,Direct,0,Transient,35
Others,"Resort Hotel",0,2016,April,6,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,39
Portugal,"Resort Hotel",0,2017,March,26,1,0,2,0,0,PRT,Direct,Direct,0,Transient,70
Others,"Resort Hotel",0,2015,October,6,0,1,1,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,37
Portugal,"Resort Hotel",0,2015,December,2,0,2,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,42
Others,"Resort Hotel",0,2016,March,17,0,1,2,0,0,unknown,Direct,Direct,0,Transient,45
Cyprus,"Resort Hotel",0,2016,January,26,0,2,1,0,0,CYP,Corporate,Corporate,0,Transient,27
Cyprus,"Resort Hotel",0,2016,December,5,1,3,2,0,0,CYP,Corporate,Corporate,0,Transient,0
Portugal,"Resort Hotel",0,2016,February,2,0,1,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,26
Others,"Resort Hotel",0,2016,March,14,1,0,2,0,0,unknown,Direct,Direct,0,Transient,45
Portugal,"Resort Hotel",0,2016,December,22,0,1,1,0,0,PRT,Corporate,Direct,0,Transient,30
Others,"Resort Hotel",0,2016,March,10,0,1,1,0,0,unknown,"Online TA",TA/TO,0,Transient,42
Others,"Resort Hotel",0,2016,October,18,0,2,1,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,45
Others,"Resort Hotel",0,2017,February,15,0,2,1,0,0,unknown,Corporate,TA/TO,0,Transient,35
Portugal,"Resort Hotel",0,2017,April,18,0,1,1,0,0,PRT,Corporate,TA/TO,0,Transient,45
Portugal,"Resort Hotel",0,2016,January,4,1,3,1,0,0,PRT,Corporate,Corporate,0,Transient,30
Portugal,"Resort Hotel",0,2016,February,1,1,2,1,0,0,PRT,Corporate,Corporate,0,Transient,30
Portugal,"Resort Hotel",0,2016,February,29,1,3,1,0,0,PRT,Corporate,Corporate,0,Transient,30
Portugal,"Resort Hotel",0,2016,April,11,1,3,1,0,0,PRT,Corporate,Corporate,0,Transient,39
Portugal,"Resort Hotel",0,2016,May,9,1,3,1,0,0,PRT,Corporate,Corporate,0,Transient,42
Portugal,"Resort Hotel",0,2016,March,16,0,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,58
Portugal,"Resort Hotel",0,2016,March,19,2,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,58
Others,"Resort Hotel",0,2016,December,2,0,1,2,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,34
Others,"Resort Hotel",0,2016,February,3,0,1,1,0,0,unknown,Direct,Direct,0,Transient,39
Portugal,"Resort Hotel",0,2017,June,9,2,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,140
Others,"Resort Hotel",0,2015,July,1,0,1,1,0,0,unknown,"Online TA",TA/TO,0,Transient,4
Others,"Resort Hotel",0,2016,January,27,0,1,1,0,0,unknown,"Online TA",TA/TO,0,Group,40
Others,"Resort Hotel",0,2016,February,3,0,1,2,0,0,unknown,"Online TA",TA/TO,0,Transient,48
Portugal,"Resort Hotel",0,2016,February,17,0,1,2,0,0,PRT,Direct,Direct,0,Transient,40
Portugal,"Resort Hotel",0,2016,March,14,1,1,1,0,0,PRT,Corporate,Direct,0,Transient,40
Others,"Resort Hotel",0,2016,October,31,1,0,2,0,0,unknown,Direct,Direct,0,Transient,77
Others,"Resort Hotel",0,2017,January,21,0,1,2,0,0,unknown,"Online TA",Direct,0,Transient,48
Portugal,"Resort Hotel",0,2017,April,8,0,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,85
Portugal,"Resort Hotel",0,2017,April,9,1,0,2,0,0,PRT,Direct,TA/TO,0,Group,85
Finland,"Resort Hotel",0,2015,October,27,0,2,2,0,0,FIN,Complementary,Direct,0,Transient,0
Finland,"Resort Hotel",1,2016,October,25,0,3,2,0,0,FIN,Complementary,Direct,1,Transient,0
Others,"Resort Hotel",0,2017,January,16,1,1,1,0,0,unknown,Corporate,Corporate,0,Transient,35
Others,"Resort Hotel",0,2016,December,14,0,1,1,0,0,unknown,Direct,Direct,0,Transient,35
Others,"Resort Hotel",0,2015,October,28,0,1,1,0,0,unknown,"Online TA",TA/TO,0,Transient,39
Others,"Resort Hotel",0,2016,March,7,1,1,1,0,0,unknown,"Online TA",TA/TO,0,Transient,30
Others,"Resort Hotel",0,2016,May,19,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,42
Others,"Resort Hotel",0,2017,March,28,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,35
Others,"Resort Hotel",0,2016,January,13,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,30
Others,"Resort Hotel",0,2016,February,23,0,2,1,0,0,unknown,Corporate,Corporate,0,Transient,30
Others,"Resort Hotel",0,2016,March,22,0,2,1,0,0,unknown,Direct,Corporate,0,Transient,53
Others,"Resort Hotel",0,2016,April,27,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,45
Others,"Resort Hotel",0,2016,September,14,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,65
Others,"Resort Hotel",0,2016,November,16,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,30
Others,"Resort Hotel",0,2017,January,18,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,35
Others,"Resort Hotel",0,2017,February,22,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,35
Others,"Resort Hotel",0,2017,March,22,0,1,1,0,0,unknown,Direct,Corporate,0,Transient,60
Portugal,"Resort Hotel",0,2015,October,28,0,1,1,0,0,PRT,Direct,Direct,0,Transient,40
Portugal,"Resort Hotel",0,2015,December,10,0,1,1,0,0,PRT,Direct,Direct,0,Transient,38
Portugal,"Resort Hotel",0,2016,January,27,0,1,1,0,0,PRT,Direct,Direct,0,Transient,39
Portugal,"Resort Hotel",0,2016,February,22,1,0,1,0,0,PRT,Corporate,Corporate,0,Transient,40
Portugal,"Resort Hotel",0,2016,October,26,0,1,1,0,0,PRT,Corporate,Corporate,0,Transient,50
Portugal,"Resort Hotel",0,2016,December,21,0,1,1,0,0,PRT,Corporate,Corporate,0,Transient,39
Portugal,"Resort Hotel",0,2017,January,23,1,0,1,0,0,PRT,Corporate,Corporate,0,Transient,35
Others,"Resort Hotel",0,2017,January,16,1,2,1,0,0,unknown,Groups,Direct,0,Transient-Party,55
Portugal,"Resort Hotel",0,2015,November,18,0,1,1,0,0,PRT,Direct,Direct,0,Transient,38
Others,"Resort Hotel",0,2015,November,25,0,1,1,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,25
Others,"Resort Hotel",0,2016,February,15,1,0,1,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,40
Others,"Resort Hotel",0,2017,January,13,0,2,2,0,0,unknown,Direct,Direct,0,Transient,84
Others,"Resort Hotel",0,2015,October,2,0,1,2,0,0,unknown,Corporate,Corporate,0,Transient,82
Portugal,"Resort Hotel",0,2016,January,19,0,1,1,0,0,PRT,Corporate,Corporate,0,Transient,38
Portugal,"Resort Hotel",0,2016,February,25,0,1,1,0,0,PRT,Corporate,Corporate,0,Transient,40
Portugal,"Resort Hotel",0,2016,March,10,0,1,2,0,0,PRT,Corporate,Corporate,0,Transient,40
Others,"Resort Hotel",0,2015,November,9,1,0,1,0,0,unknown,Corporate,Corporate,0,Transient,46
Others,"Resort Hotel",0,2016,March,14,1,0,1,0,0,unknown,Corporate,Corporate,0,Transient,40
Others,"Resort Hotel",0,2016,May,16,1,0,1,0,0,unknown,Corporate,Corporate,0,Transient,63
Portugal,"Resort Hotel",0,2016,October,17,1,0,1,0,0,PRT,Corporate,Corporate,0,Transient,58
Others,"Resort Hotel",0,2015,November,19,0,1,1,0,0,unknown,Direct,Direct,0,Transient,38
Others,"Resort Hotel",0,2016,January,12,0,2,2,0,0,unknown,Direct,Direct,0,Transient,43
Others,"Resort Hotel",0,2017,April,13,0,1,2,0,0,unknown,Direct,TA/TO,0,Transient,161
Others,"Resort Hotel",0,2015,November,8,1,0,1,0,0,unknown,Direct,Direct,0,Transient,53
Others,"Resort Hotel",0,2015,December,6,1,0,1,0,0,unknown,Direct,Direct,0,Transient,53
Others,"Resort Hotel",0,2016,March,2,0,1,1,0,0,unknown,Direct,Direct,0,Transient,40
Others,"Resort Hotel",1,2016,April,7,0,1,1,0,0,unknown,Direct,Direct,0,Transient,56
Others,"Resort Hotel",0,2017,March,6,1,1,1,0,0,unknown,Direct,Direct,0,Transient,55
Portugal,"Resort Hotel",0,2015,November,26,0,1,1,0,0,PRT,Corporate,Corporate,0,Transient,38
Portugal,"Resort Hotel",0,2015,November,16,1,0,1,0,0,PRT,Corporate,Corporate,0,Transient,35
Portugal,"Resort Hotel",1,2016,June,13,1,3,1,0,0,PRT,Corporate,Corporate,1,Transient,65
Others,"Resort Hotel",0,2015,December,3,0,1,2,0,0,unknown,Direct,Direct,0,Transient,58
Others,"Resort Hotel",0,2016,January,20,0,1,2,0,0,unknown,Direct,Direct,0,Transient,61
Others,"Resort Hotel",0,2016,February,11,0,1,2,0,0,unknown,Direct,Direct,0,Transient,55
Others,"Resort Hotel",0,2016,February,25,0,1,2,0,0,unknown,Direct,Direct,0,Transient,45
Others,"Resort Hotel",0,2016,March,30,0,2,2,0,0,unknown,Direct,Direct,0,Transient,82
Others,"Resort Hotel",0,2017,February,10,0,2,2,0,0,unknown,"Online TA",TA/TO,0,Transient,48
Others,"Resort Hotel",0,2016,March,4,0,2,1,0,0,unknown,Direct,Direct,0,Transient,56
Others,"Resort Hotel",0,2016,April,7,0,3,2,1,0,unknown,Direct,Direct,0,Transient,75
Others,"Resort Hotel",0,2016,March,31,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,42
Others,"Resort Hotel",0,2016,December,15,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,36
Others,"Resort Hotel",0,2017,January,19,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,35
Others,"Resort Hotel",0,2017,March,30,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,35
Others,"Resort Hotel",0,2015,October,22,1,3,2,0,0,unknown,Direct,Direct,0,Transient-Party,56
Portugal,"Resort Hotel",0,2016,March,18,0,1,2,0,0,PRT,Direct,Direct,0,Transient,45
Portugal,"Resort Hotel",0,2015,October,14,0,1,1,0,0,PRT,"Offline TA/TO",TA/TO,1,Transient,38
Portugal,"Resort Hotel",1,2015,October,14,0,1,1,0,0,PRT,Corporate,Corporate,1,Transient,47
Portugal,"Resort Hotel",0,2015,November,16,1,2,1,0,0,PRT,"Offline TA/TO",TA/TO,1,Group,34
Portugal,"Resort Hotel",0,2015,December,17,0,1,1,0,0,PRT,"Offline TA/TO",TA/TO,1,Transient,26
Portugal,"Resort Hotel",0,2017,February,1,0,1,1,0,0,PRT,Corporate,TA/TO,1,Transient-Party,35
Others,"Resort Hotel",0,2016,February,9,0,3,1,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,25
Others,"Resort Hotel",0,2015,December,21,1,0,2,0,0,unknown,Direct,Direct,0,Transient,69
Portugal,"Resort Hotel",0,2015,September,17,0,2,2,0,0,PRT,Direct,Direct,0,Transient,80
Others,"Resort Hotel",0,2015,December,17,0,2,2,0,0,unknown,Direct,Direct,0,Transient,43
Others,"Resort Hotel",0,2016,September,8,0,2,2,0,0,unknown,Direct,Direct,0,Transient,88
Others,"Resort Hotel",0,2017,February,6,1,0,1,0,0,unknown,Corporate,Corporate,0,Transient,36
Others,"Resort Hotel",0,2015,December,9,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,46
Portugal,"Resort Hotel",0,2016,April,11,1,0,1,0,0,PRT,Corporate,Corporate,0,Transient,65
Others,"Resort Hotel",0,2016,November,8,0,1,1,0,0,unknown,Direct,Direct,0,Transient,41
Others,"Resort Hotel",0,2016,November,16,0,1,1,0,0,unknown,Direct,Direct,0,Transient,40
Portugal,"Resort Hotel",0,2016,April,4,1,2,1,0,0,PRT,Direct,Direct,0,Transient,45
Portugal,"Resort Hotel",0,2016,November,28,1,1,1,0,0,PRT,Corporate,Direct,0,Transient,33
Others,"Resort Hotel",0,2015,December,1,0,2,1,0,0,unknown,Corporate,Direct,0,Transient,35
Others,"Resort Hotel",0,2016,January,19,0,1,1,0,0,unknown,Corporate,Direct,0,Transient,38
Portugal,"Resort Hotel",0,2016,December,17,1,1,2,0,0,PRT,Direct,Direct,0,Transient,64
Portugal,"Resort Hotel",0,2016,December,31,1,1,2,0,0,PRT,Direct,Direct,0,Transient,203
Portugal,"Resort Hotel",0,2016,March,24,1,3,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,49
Others,"Resort Hotel",0,2016,December,30,1,2,2,0,2,unknown,Direct,Direct,0,Transient,198
Portugal,"Resort Hotel",0,2017,May,6,1,1,2,2,0,PRT,"Online TA",Direct,0,Transient,176
Portugal,"Resort Hotel",0,2017,May,8,1,0,2,2,0,PRT,"Online TA",Direct,0,Transient,152
Others,"Resort Hotel",0,2016,April,27,0,3,1,0,0,unknown,Groups,Direct,0,Transient,0
Others,"Resort Hotel",0,2016,November,19,0,1,2,0,0,unknown,"Online TA",TA/TO,0,Transient,48
Others,"Resort Hotel",0,2016,December,11,1,0,2,0,0,unknown,"Online TA",TA/TO,0,Group,48
Others,"Resort Hotel",0,2017,February,4,0,1,2,0,0,unknown,Direct,TA/TO,0,Transient,48
Others,"Resort Hotel",0,2017,February,18,0,1,2,0,0,unknown,Direct,TA/TO,0,Transient,61
Others,"Resort Hotel",0,2017,March,4,0,1,2,0,0,unknown,Direct,TA/TO,0,Transient,68
Others,"Resort Hotel",0,2017,February,8,0,1,2,0,0,unknown,Direct,Direct,0,Transient,73
Others,"Resort Hotel",0,2015,September,5,1,1,2,2,0,unknown,"Online TA",TA/TO,0,Transient,179
Portugal,"Resort Hotel",0,2016,May,21,2,4,2,0,0,PRT,Direct,Direct,0,Transient,70
Others,"Resort Hotel",0,2015,August,10,3,6,3,0,0,unknown,Direct,Direct,0,Transient,158
Portugal,"Resort Hotel",0,2017,August,4,2,5,3,0,0,PRT,"Online TA",Direct,0,Transient,231
Portugal,"Resort Hotel",0,2015,July,9,0,1,1,0,0,PRT,Direct,Direct,0,Transient,82
Portugal,"Resort Hotel",0,2016,March,18,0,1,2,0,0,PRT,Direct,Direct,0,Transient,88
Portugal,"Resort Hotel",0,2017,May,4,0,1,2,0,0,PRT,Corporate,Corporate,0,Transient-Party,67
Others,"Resort Hotel",0,2015,September,25,0,1,2,0,0,unknown,"Online TA",TA/TO,0,Transient,106
Others,"Resort Hotel",0,2015,October,28,0,1,1,0,0,unknown,Corporate,Corporate,0,Transient,37
Others,"Resort Hotel",0,2016,November,9,0,2,1,0,0,unknown,Corporate,Corporate,0,Transient,27
Others,"Resort Hotel",0,2016,February,9,0,2,2,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,29
Others,"Resort Hotel",0,2016,February,11,0,1,2,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,30
Others,"Resort Hotel",0,2017,January,25,0,1,1,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,35
Others,"Resort Hotel",0,2016,May,9,1,3,1,0,0,unknown,Corporate,Corporate,0,Transient,45
Portugal,"Resort Hotel",0,2017,July,9,2,4,2,0,0,PRT,Direct,Direct,0,Transient,225
Others,"Resort Hotel",1,2015,September,19,1,1,2,0,0,unknown,Direct,Direct,0,Transient,99
Others,"Resort Hotel",0,2016,October,2,2,2,2,0,0,unknown,"Online TA",TA/TO,0,Transient,119
Others,"Resort Hotel",0,2016,June,10,2,6,2,0,0,unknown,"Online TA",TA/TO,0,Transient,72
Others,"Resort Hotel",0,2016,May,20,1,2,2,0,0,unknown,Direct,Direct,0,Transient,110
Portugal,"Resort Hotel",0,2017,July,10,1,4,2,1,0,PRT,Direct,Direct,0,Transient,246
"United Kingdom","Resort Hotel",0,2016,September,12,2,5,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Transient,68
"United Kingdom","Resort Hotel",1,2017,June,14,2,5,2,0,0,GBR,Direct,TA/TO,1,Transient,113
Others,"Resort Hotel",0,2016,June,29,0,1,1,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,57
Portugal,"Resort Hotel",0,2017,July,3,3,5,2,0,0,PRT,Direct,Direct,0,Transient,152
Others,"Resort Hotel",0,2016,January,31,2,0,2,0,0,unknown,Direct,Direct,0,Transient,50
Others,"Resort Hotel",0,2015,July,6,1,4,2,0,0,unknown,"Offline TA/TO",TA/TO,0,Transient,59
